model,bleu,meteor
m2m100_cs-en,0.0,0.5524
m2m100_de-en,0.2804,0.7485
m2m100_fi-en,0.3029,0.7349
m2m100_fr-de,0.1306,0.3298
m2m100_gu-en,0.0,0.2273
m2m100_kk-en,0.0,0.0
m2m100_lt-en,0.0,0.2025
m2m100_ru-en,0.2069,0.7198
m2m100_zh-en,0.3223,0.8531
marian_cs-en,0.6794,0.8306
marian_de-en,0.8539,0.969
marian_fi-en,0.8539,0.969
marian_fr-de,0.4691,0.8232
marian_ru-en,0.3886,0.8168
marian_zh-en,0.3631,0.8508
t5_cs-en,0.0,0.0778
t5_de-en,0.0,0.0575
t5_fi-en,0.0,0.0303
t5_fr-de,0.0,0.0221
t5_gu-en,0.0,0.25
t5_kk-en,0.0,0.0449
t5_lt-en,0.0,0.0275
t5_ru-en,0.2277,0.5842
t5_zh-en,0.0,0.076
nllb_cs-en,0.0,0.5672
nllb_de-en,0.3277,0.9076
nllb_fi-en,0.2732,0.7431
nllb_fr-de,0.2121,0.3253
nllb_gu-en,0.0,0.3462
nllb_kk-en,0.3895,0.4815
nllb_lt-en,0.0,0.3341
nllb_ru-en,0.3572,0.7864
nllb_zh-en,0.2971,0.8573
mbart50_cs-en,0.0,0.7039
mbart50_de-en,0.8539,0.969
mbart50_fi-en,0.7959,0.841
mbart50_fr-de,0.1115,0.4965
mbart50_gu-en,0.0,0.7188
mbart50_kk-en,0.7145,0.9082
mbart50_lt-en,0.6157,0.8209
mbart50_ru-en,0.3708,0.8209
mbart50_zh-en,0.1597,0.8479
